"Region","Total_Area"
"Transilvania",6101.9
"Moldova",2926.3
"Muntenia",2597.2
"Oltenia",2413.7
"Banat",1603.7
"Bucovina",1301.1
"Crișana",1260.6
"Maramureș",989.7
"Dobrogea",417.5
